name,cuisine,description,ingredients,price,time_to_cook,diet_type,image_url
Caesar Salad,American,Classic salad with romaine and Caesar dressing,romaine lettuce;caesar dressing;parmesan cheese;croutons;anchovies,11,15,Non-Vegetarian,https://images.unsplash.com/photo-1546793665-c74683f339c1?w=800&q=80
BBQ Ribs,American,Slow-cooked pork ribs with barbecue sauce,pork ribs;barbecue sauce;brown sugar;paprika;garlic powder;onion powder,22,240,Non-Vegetarian,https://images.unsplash.com/photo-1544025162-d76694265947?w=800&q=80
Mac and Cheese,American,Creamy pasta with cheese sauce,elbow macaroni;cheddar cheese;milk;butter;flour;breadcrumbs,12,30,Vegetarian,https://images.unsplash.com/photo-1543339494-b4cd4f7ba686?w=800&q=80
Burgers,American,Classic beef burgers with toppings,ground beef;burger buns;lettuce;tomato;onions;pickles;cheese,15,25,Non-Vegetarian,https://images.unsplash.com/photo-1550547660-d9450f859349?w=800&q=80
Keto Cauliflower Pizza,Italian,Low-carb pizza with cauliflower crust,cauliflower;eggs;mozzarella cheese;tomato sauce;pepperoni;basil,16,40,Keto,https://images.unsplash.com/photo-1574071318508-1cdbab80d002?w=800&q=80
Keto Zucchini Noodles,Italian,Spiralized zucchini with pesto,zucchini;basil;pine nuts;parmesan cheese;olive oil;garlic,13,20,Keto,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=800&q=80
Keto Chicken Curry,Indian,Low-carb chicken curry,chicken;coconut milk;curry spices;onions;ginger;garlic;cauliflower rice,18,45,Keto,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=800&q=80
Paleo Grilled Salmon,American,Simple grilled salmon with herbs,salmon;lemon;dill;olive oil;salt;pepper;asparagus,20,25,Paleo,https://images.unsplash.com/photo-1467003909585-2f8a72700288?w=800&q=80
Paleo Beef Stew,American,Hearty stew without grains,beef;sweet potatoes;carrots;onions;beef broth;herbs;coconut oil,19,120,Paleo,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=800&q=80
Paleo Chicken Salad,American,Chicken salad with avocado,chicken;avocado;celery;onions;lemon;olive oil;almonds,15,20,Paleo,https://images.unsplash.com/photo-1546069901-ba9599a7e63c?w=800&q=80
Gluten-Free Pasta Primavera,Italian,Vegetable pasta with gluten-free noodles,gluten-free pasta;mixed vegetables;olive oil;garlic;parmesan cheese;basil,14,25,Gluten-Free,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=800&q=80
Gluten-Free Quinoa Bowl,American,Protein-packed quinoa with vegetables,quinoa;black beans;corn;avocado;tomatoes;lime;cilantro,12,30,Gluten-Free,https://images.unsplash.com/photo-1512058564366-18510be2db19?w=800&q=80
Dairy-Free Chocolate Cake,American,Rich chocolate cake without dairy,flour;cocoa powder;sugar;vegetable oil;vanilla;baking powder;almond milk,10,45,Dairy-Free,https://images.unsplash.com/photo-1578985545062-69928b1d9587?w=800&q=80
Dairy-Free Coconut Curry,Indian,Creamy curry with coconut milk,chicken;coconut milk;curry paste;vegetables;ginger;garlic;basil rice,16,40,Dairy-Free,https://images.unsplash.com/photo-1631452180519-c014fe946bc7?w=800&q=80
Vegan Pad Thai,Vietnamese,Plant-based pad thai,rice noodles;tofu;bean sprouts;carrots;peanuts;lime;tamarind;soy sauce,14,30,Vegan,https://images.unsplash.com/photo-1559314809-0d155014e29e?w=800&q=80
Vegan Buddha Bowl,American,Nourishing bowl with grains and vegetables,quinoa;chickpeas;sweet potato;kale;avocado;tahini;lemon,13,35,Vegan,https://images.unsplash.com/photo-1512058564366-18510be2db19?w=800&q=80
Vegan Lentil Curry,Indian,Spiced lentils with vegetables,lentils;coconut milk;curry spices;tomatoes;onions;ginger;garlic;rice,11,40,Vegan,https://images.unsplash.com/photo-1589302168068-964664d93dc0?w=800&q=80
Vegan Sushi,Japanese,Plant-based sushi rolls,sushi rice;nori;cucumber;avocado;carrots;tofu;soy sauce,15,35,Vegan,https://images.unsplash.com/photo-1579584425555-c3ce17fd4351?w=800&q=80
Vegetarian Lasagna,Italian,Layered pasta with vegetables and cheese,lasagna noodles;ricotta cheese;mozzarella;tomato sauce;spinach;mushrooms;onions,17,60,Vegetarian,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=800&q=80
Vegetarian Stuffed Peppers,American,Bell peppers filled with rice and vegetables,bell peppers;rice;black beans;corn;cheese;tomatoes;onions,14,50,Vegetarian,https://images.unsplash.com/photo-1565299624946-b28f40a0ae38?w=800&q=80
Vegetarian Ramen,Japanese,Plant-based ramen bowl,ramen noodles;vegetable broth;tofu;mushrooms;corn;green onions;nori;sesame oil,13,30,Vegetarian,https://images.unsplash.com/photo-1569718212165-3a8278d5f624?w=800&q=80
Vegetarian Tacos,Mexican,Black bean and vegetable tacos,corn tortillas;black beans;corn;avocado;salsa;cilantro;lime;cheese,12,25,Vegetarian,https://images.unsplash.com/photo-1565299585323-38174c5b2e5e?w=800&q=80
Vegetarian Pho,Vietnamese,Vegetable noodle soup,rice noodles;vegetable broth;tofu;mushrooms;bean sprouts;basil;lime;hoisin,13,45,Vegetarian,https://images.unsplash.com/photo-1559339352-11d035aa65de?w=800&q=80
Dairy-Free Pasta,Italian,Pasta with olive oil and vegetables,pasta;olive oil;garlic;cherry tomatoes;basil;pine nuts;red pepper flakes,12,20,Dairy-Free,https://images.unsplash.com/photo-1621996346565-e3dbc646d9a9?w=800&q=80
Gluten-Free Sushi,Japanese,Sushi with gluten-free soy sauce,sushi rice;nori;salmon;cucumber;avocado;gluten-free tamari;wasabi,20,40,Gluten-Free,https://images.unsplash.com/photo-1579584425555-c3ce17fd4351?w=800&q=80
Keto Taco Bowl,Mexican,Low-carb taco filling in a bowl,ground beef;lettuce;cheese;sour cream;avocado;tomatoes;onions,16,25,Keto,https://images.unsplash.com/photo-1565299585323-38174c5b2e5e?w=800&q=80
Paleo Fish Tacos,Mexican,Grilled fish in lettuce wraps,white fish;lettuce;cabbage;lime;cilantro;avocado;paleo mayo,18,30,Paleo,https://images.unsplash.com/photo-1565299585323-38174c5b2e5e?w=800&q=80
Vegan French Onion Soup,French,Caramelized onion soup without cheese,onions;vegetable broth;thyme;bay leaves;bread;olive oil;garlic,11,60,Vegan,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=800&q=80
Vegetarian Coq au Vin,French,Vegetarian version with mushrooms,mushrooms;red wine;carrots;onions;garlic;thyme;bay leaves;vegetable broth,16,75,Vegetarian,https://images.unsplash.com/photo-1603133872878-684f208fb84b?w=800&q=80
Vegan Banh Mi,Vietnamese,Plant-based Vietnamese sandwich,baguette;tofu;pickled carrots;cucumber;cilantro;vegan mayo;chili;soy sauce,12,30,Vegan,https://images.unsplash.com/photo-1551218808-94e220e084d2?w=800&q=80
